,,,,,,,,,,,,,,,,,,W,W,W,E,W,W,W,,,,,,,,
,,,,,,,,,,,,,,,,,,W,b,,,,c,W,,,,,,,,
,,,,,,,,,,,,,,,,,,W,,,,,,W,,,,,,,,
,,,,,,,,,,,,,,,,,,W,,,,,,W,,,,,,,,
,,,,,,,,,,,,,,,,,,W,,,,,,W,,,,,,,,
,,,,,,,,,,W,W,W,W,W,W,W,W,W,,,T,,,W,W,W,W,W,W,W,W,W
,,,,,,,,,,W,b,gi,,bs,,,,,,,,,,,,c,b,c,gc,,c,W
,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,W
,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,W
,,,,,,,,,,W,,,,,,W,W,W,,,,,,W,W,W,,,,,,W
,,,,,,,,,,W,,,,,,W,W,W,,,TF,,,W,W,W,,,,,,W
,,,,,,,,,,W,,,,,,W,W,W,,,,,,W,W,W,,,,,,W
,,,,,,,,,,W,,,T,,,W,W,W,,,L,,c,W,W,W,,,T,,,W
,,,,,,,,,,W,,,,,,W,W,W,b,,,,,W,W,W,,,,,,W
,,,,,,,,,,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,W
,,,,,,,,,,W,,,,,,,,,,bs,,,bx,,,,,,,,,W
,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,W
,,,,,,,,,,W,,c,,b,b,b,,,,,,,,,,,,bx,,gi,b,W
,,,,,,,,,,W,W,W,W,W,W,W,W,W,,,,,,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,,,W,,,,,,W,,,,,,,,
,,,,,,,,,,,,,,,,,,W,,,S,,,W,,,,,,,,
,,,,,,,,,,,,,,,,,,W,,,,,b,W,,,,,,,,
,,,,,,,,,,,,,,,,,,W,W,W,D,W,W,W,,,,,,,,
