g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g_tr-lg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_cn,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g_rk,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_cn,g,g,g,g,g,g,g,g,g,g_rk,g,g,g,g,g,g_cn,g
g,g,g,g,g,g,g,g,g,g,g,g_cn,g,g,g,g,g,g,g_tr-lg,g,g,g,g_rk,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g_tr-sm,g,g,g,g,g,g,g,g_rk,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g_tr-lg,g,g,g_tr-sm,g,g,g,g,g,g,g_tr-lg,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_tr-sm,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g_rk,g,g,g,g,g,g,g,g,g
g,g,g,g,g_tr-sm,g,g_cn,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g_rk,g,g,g,g,g,g,g_tr-sm,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g_tr-sm,g,g,g,g,g,g_rk,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_cn,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g_cn,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g_rk,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g_tr-sm,g,g,g,g,g,g,g,g,g,g,g,g_tr-sm,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g_tr-sm,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g_tr-sm,g,g,g,g,g_cn,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g_rk,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g_cn,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g_tr-lg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g_rk,g,g_cn,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_tr-lg,g,g_cn,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g_cn,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g_tr-sm,g,g,g,g_tr-lg,g,g,g,g,g,g,g_tr-lg,g,g_rk,g,g,g,g_cn,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_tr-sm,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g_rk,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_cn,g,g,g,g,g,g_tr-sm,g,g,g,g,g,g,g_tr-lg,g,g,g,g_cn,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_rk,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
